"","Sserial","WtFactor","RSex","RAgeCat","eq_inc_quintiles","RClassGp","HEdQual3","Married","ChildHh","skipmeal","paptype","SMNews","PartyId2","Politics","SocTrust","Spend1","Dole","TaxSpend","MuchPov","Poverty1","Poverty2","NatFrEst","incdiffs","welfare2","leftrigh","libauth"
"1803",311803,0.350362761331651,1,7,-1,3,3,4,2,1,1,8,1,3,-1,-1,1,2,2,2,1,90,1,3.5,1,5
"1804",311804,1.22850410330915,2,5,5,1,2,1,1,-1,0,8,2,1,1,1,1,3,2,1,1,5,-1,1.5,1.6,1.66666666666667
"1805",311805,0.560425952766697,1,4,1,4,4,2,2,-1,0,8,4,4,-1,-1,1,2,2,1,1,50,-1,-1,-1,-1
"1806",311806,1.44936534582832,2,2,2,2,2,1,1,-1,0,1,2,5,2,4,1,2,2,8,1,50,-1,2.875,2.8,4.16666666666667
"1807",311807,2.03193450679786,1,1,-1,-1,3,4,2,-1,0,3,5,5,8,3,8,8,2,2,8,998,-1,-1,-1,-1
"1808",311808,0.652060651026921,2,3,1,3,3,3,2,-1,0,5,2,4,1,1,3,2,2,1,1,20,-1,-1,-1,-1
"1809",311809,0.384624535076586,2,3,-1,2,2,2,1,-1,0,2,8,5,1,8,1,2,2,8,2,100,-1,-1,-1,-1
"1810",311810,0.504627039704506,2,3,3,5,2,4,2,1,0,1,5,5,-1,-1,1,3,2,2,2,90,1,3.375,1.4,3.66666666666667
"1811",311811,1.06722080433407,1,2,1,5,4,4,2,-1,0,8,5,5,2,4,1,4,2,1,1,69,-1,2.875,9,3.33333333333333
"1812",311812,0.861879091005012,1,7,2,5,3,1,2,1,1,2,3,1,-1,-1,1,3,2,2,1,5,1,1.625,2.2,3.66666666666667
"1813",311813,1.09446003453914,2,3,1,5,4,2,1,1,0,7,2,3,-1,-1,3,1,2,2,2,95,2,2.75,2.2,3.5
"1814",311814,0.989390211857953,2,7,5,1,3,1,2,1,2,8,6,2,-1,-1,1,3,2,1,1,5,2,2.875,3.4,3.5
"1815",311815,1.42425063243673,1,2,4,1,2,1,2,1,1,8,8,3,-1,-1,8,2,8,2,1,998,2,2.5,3.2,3
"1816",311816,1.19442406988219,1,2,4,1,2,1,1,-1,1,6,1,1,2,2,2,1,1,2,1,10,-1,4,5,3.16666666666667
"1817",311817,1.7428753721996,2,5,1,5,3,1,1,-1,0,8,3,3,1,3,1,3,8,2,2,998,-1,2.375,2,3
"1818",311818,2.5373764267004,2,5,-1,2,2,1,1,-1,0,8,5,5,-1,-1,3,4,8,8,8,998,-1,-1,-1,-1
"1819",311819,2.41357792586459,2,1,4,2,2,4,2,-1,0,1,1,3,2,1,1,2,2,2,1,20,-1,2.5,3.2,4.33333333333333
"1820",311820,1.31270095312673,1,4,4,1,8,1,1,9,0,8,1,3,-1,-1,2,3,1,2,2,998,1,9,9,9
"1821",311821,0.453862311818114,2,7,2,5,4,3,2,-1,1,8,5,3,2,3,2,3,1,1,1,100,-1,3.375,1.4,4.33333333333333
"1822",311822,1.10857329355246,1,4,5,1,3,1,1,1,0,8,2,1,-1,-1,1,3,2,1,1,5,1,2,2.6,3.16666666666667
"1823",311823,0.952811117721266,1,6,4,5,4,1,2,1,0,8,1,2,-1,-1,1,2,2,1,2,60,3,3,3.8,4.33333333333333
"1824",311824,0.500144657813478,2,7,2,3,4,2,2,-1,0,1,2,3,2,3,3,2,2,2,1,50,-1,2.125,3,2.16666666666667
"1825",311825,0.521421223357371,2,7,5,5,1,2,2,1,0,8,8,3,-1,-1,1,3,1,8,1,998,2,2.125,2.6,3.16666666666667
"1826",311826,2.61113932412904,1,1,4,1,1,4,2,-1,2,4,3,1,-1,-1,7,2,2,1,1,20,-1,-1,-1,-1
"1827",311827,2.34672567235136,1,2,-1,1,8,2,2,-1,0,2,5,3,-1,-1,2,2,1,1,2,60,-1,-1,-1,-1
"1828",311828,0.747131820438193,1,7,5,2,3,1,2,-1,0,8,2,2,1,3,2,3,2,1,1,20,-1,2.75,2,4.16666666666667
"1829",311829,1.04614819833764,2,7,2,5,4,2,1,7,1,8,4,2,-1,-1,1,3,2,1,1,50,2,2.125,1,4.5
"1830",311830,1.1140497928196,2,7,2,1,2,1,2,1,0,8,3,1,-1,-1,1,3,2,1,1,25,1,2.125,2.4,3
"1831",311831,0.404269887785205,2,6,3,5,3,3,2,1,0,8,4,5,-1,-1,1,3,2,2,1,40,2,2.625,2,3
"1832",311832,0.513770824343902,2,7,3,5,4,2,2,1,1,8,2,4,-1,-1,2,3,2,8,1,25,8,2.57142857142857,1.4,4.4
"1833",311833,0.940084783630692,2,4,1,5,2,1,1,1,0,8,2,3,-1,-1,1,3,2,2,2,998,2,2,2,2.66666666666667
